"ID";"Слой";"Раздел";"Вес категории";"Критерий";"Что проверять";"Как понять, что есть проблема";"Оценка 0-3";"Вес критерия 1-5";"Критичность";"Тип вывода";"Рекомендация";"Пример хорошего решения";"Пример плохого решения"
"OF-01";"conversion";"Оффер и первый экран";"20";"Понятность предложения за 5 секунд";"H1, подзаголовок, визуальный акцент и первый CTA на desktop и mobile.";"Нельзя быстро понять, что продают, для кого и какой результат обещают.";"";"5";"Critical";"Факт";"Переписать первый экран через продукт, аудиторию и конкретную пользу.";"Аудит лендинга для заявок из Яндекс Директа за 48 часов.";"Добро пожаловать на сайт нашей компании."
"OF-02";"conversion";"Оффер и первый экран";"20";"Понятность целевой аудитории";"Есть ли в оффере указание на сегмент, нишу, сценарий или тип клиента.";"Оффер звучит универсально и не даёт посетителю понять, что это решение для него.";"";"4";"High";"Факт";"Добавить сегмент аудитории в H1, подзаголовок или первый смысловой блок.";"Для B2B-компаний, которые получают заявки из Директа.";"Решения для бизнеса любого масштаба."
"OF-03";"conversion";"Оффер и первый экран";"20";"Конкретный результат или польза";"Есть ли измеримый результат, понятная выгода, экономия, срок или эффект.";"Есть описание услуги, но нет ответа, что клиент получит в итоге.";"";"5";"Critical";"Факт";"Сформулировать пользу в терминах результата клиента, а не процесса компании.";"Найдём правки, которые мешают заявкам, и дадим план внедрения.";"Мы оказываем качественные маркетинговые услуги."
"OF-04";"conversion";"Оффер и первый экран";"20";"Отличие от конкурентов";"Есть ли причина выбрать именно это предложение: метод, специализация, срок, гарантия, опыт.";"Сайт можно заменить на сайт конкурента без потери смысла.";"";"4";"High";"Гипотеза";"Добавить дифференциатор рядом с основным оффером.";"Специализация только на лендингах под рекламный трафик.";"Индивидуальный подход и высокое качество."
"OF-05";"conversion";"Оффер и первый экран";"20";"Связь с болью клиента";"Отражены ли задача, страх, потеря денег, срочность или причина обращения.";"Оффер не попадает в реальную мотивацию посетителя из рекламы.";"";"4";"High";"Гипотеза";"Связать предложение с болью, которую пользователь уже осознаёт.";"Покажем, где лендинг теряет заявки и рекламный бюджет.";"Поможем улучшить ваш сайт."
"OF-06";"conversion";"Оффер и первый экран";"20";"Фокус на результате клиента, а не компании";"Проверить, не начинается ли первый экран с самопрезентации компании.";"Заголовок говорит о компании, опыте или команде, но не о ценности для клиента.";"";"4";"High";"Факт";"Перенести самопрезентацию ниже, первый экран сделать про задачу клиента.";"Получите список правок для роста заявок.";"Мы команда профессионалов с 2015 года."
"OF-07";"conversion";"Оффер и первый экран";"20";"Главный CTA на первом экране";"Виден ли основной CTA без прокрутки на desktop и mobile.";"Кнопка отсутствует, спрятана, выглядит второстепенно или ведёт к непонятному действию.";"";"5";"Critical";"Факт";"Добавить заметный CTA рядом с оффером.";"Получить аудит лендинга.";"Подробнее."
"OF-08";"conversion";"Оффер и первый экран";"20";"Доказательство рядом с оффером";"Есть ли возле оффера цифра, кейс, гарантия, пример результата, отзыв или факт.";"Первый экран просит поверить обещанию без подтверждения.";"";"4";"High";"Факт";"Добавить короткое доказательство прямо в первый экран.";"120+ аудитов лендингов под Директ.";"Лучшее качество на рынке."
"OF-09";"conversion";"Оффер и первый экран";"20";"Отсутствие визуального шума";"Не конкурируют ли фон, слайдер, анимации, меню и декоративные элементы с главным смыслом.";"Посетителю сложно выделить H1, пользу и CTA.";"";"3";"Medium";"Факт";"Упростить первый экран и усилить визуальную иерархию.";"Один главный заголовок, один CTA, один смысловой акцент.";"Слайдер, несколько кнопок, длинное меню и мелкий текст одновременно."
"OF-10";"conversion";"Оффер и первый экран";"20";"Понятность без прокрутки";"Виден ли смысл первого экрана без необходимости скроллить.";"Ключевая польза или CTA уезжают ниже первого экрана.";"";"4";"High";"Факт";"Сжать первый экран и поднять главный смысл выше.";"H1, польза и CTA видны в первом viewport.";"На первом экране только абстрактное фото и меню."
"AD-01";"conversion";"Соответствие рекламе и запросу";"15";"Совпадение обещания рекламы и первого экрана";"Сравнить объявление, ключевой запрос и H1/подзаголовок.";"Объявление обещает одно, первый экран говорит о другом.";"";"5";"Critical";"Факт/гипотеза";"Повторить ключевое рекламное обещание на первом экране.";"В объявлении и H1 одинаковая услуга, география и результат.";"Клик по 'ремонт квартир под ключ', первый экран про дизайн интерьера."
"AD-02";"conversion";"Соответствие рекламе и запросу";"15";"Повтор ключевого смысла рекламы";"Есть ли на странице формулировки, совпадающие с намерением пользователя.";"Пользователь не видит подтверждения, что попал по нужному запросу.";"";"4";"High";"Факт/гипотеза";"Добавить релевантные фразы и блоки под основной запрос.";"Расчёт стоимости ремонта под ключ за 1 день.";"Комплексные услуги для дома."
"AD-03";"conversion";"Соответствие рекламе и запросу";"15";"Не слишком общий лендинг для конкретного запроса";"Оценить соответствие конкретики запроса посадочной странице.";"Конкретный запрос ведёт на общий сайт без нужного раздела или оффера.";"";"5";"Critical";"Гипотеза";"Создать отдельный первый экран или посадочную под группу запросов.";"Лендинг под 'аудит лендинга для Директа'.";"Главная страница агентства на все услуги."
"AD-04";"conversion";"Соответствие рекламе и запросу";"15";"Соответствие уровню осведомлённости";"Понять, пользователь холодный, сравнивает подрядчиков или уже готов купить.";"CTA и текст требуют слишком быстрого решения или, наоборот, слишком долго прогревают горячий спрос.";"";"4";"High";"Гипотеза";"Подстроить оффер и CTA под температуру трафика.";"Для горячего спроса: получить расчёт. Для холодного: получить разбор.";"Одинаковый CTA 'Купить сейчас' для всех сегментов."
"AD-05";"conversion";"Соответствие рекламе и запросу";"15";"Совпадение цены, срока, услуги и географии";"Сравнить коммерческие условия в рекламе и на лендинге.";"В рекламе указан срок, цена, город или услуга, которые не подтверждены на сайте.";"";"4";"High";"Факт";"Синхронизировать условия рекламы и страницы.";"Москва, от 80 000 руб., срок от 10 дней указаны и в рекламе, и на сайте.";"Реклама обещает от 5 000 руб., сайт не показывает цену."
"AD-06";"conversion";"Соответствие рекламе и запросу";"15";"Понятность перехода после клика";"Оценить, есть ли ощущение непрерывного сценария после клика.";"После клика пользователь вынужден заново разбираться, куда попал.";"";"4";"High";"Гипотеза";"Повторить в первом экране контекст клика: запрос, услугу, результат, географию.";"Вы искали аудит лендинга под Директ - здесь получите разбор за 48 часов.";"Абстрактный имиджевый первый экран без связи с запросом."
"LIM-ADS-01";"limitation";"Ограничения входных данных";"0";"Рекламные объявления не переданы";"Переданы ли объявления, поисковые запросы и креативы.";"AI делает выводы о соответствии рекламы и первого экрана без рекламных данных.";"";"3";"Medium";"Ограничение";"Формулировать выводы по рекламе как гипотезы с пониженной уверенностью.";"Рекламные объявления не переданы, поэтому релевантность рекламы оценивается как гипотеза.";"Реклама точно не соответствует лендингу."
"MB-01";"conversion";"Мобильная версия";"15";"Смысл, польза и CTA на 360-390 px";"Проверить первый экран на типичной мобильной ширине.";"Нужно долго скроллить, чтобы увидеть пользу или кнопку.";"";"5";"Critical";"Факт";"Пересобрать mobile hero: H1, польза и CTA должны быть выше.";"На первом экране телефона видны H1, короткая польза и кнопка.";"На mobile сначала крупная картинка и пустой отступ."
"MB-02";"conversion";"Мобильная версия";"15";"Читаемость заголовка";"Проверить переносы, длину строк, размер шрифта и высоту первого экрана.";"Заголовок ломается на много строк или становится нечитаемым блоком.";"";"4";"High";"Факт";"Сократить H1 для mobile или настроить адаптивную типографику.";"Аудит лендинга под Директ за 48 часов.";"Профессиональный комплексный аудит продающей способности вашего лендинга."
"MB-03";"conversion";"Мобильная версия";"15";"Кликабельность кнопок";"Проверить размер, отступы и доступность кнопок пальцем.";"Кнопки мелкие, стоят слишком близко или не выглядят нажимаемыми.";"";"4";"High";"Факт";"Увеличить touch area и визуальный контраст CTA.";"Кнопка высотой 44-56 px с нормальными отступами.";"Маленькая текстовая ссылка вместо CTA."
"MB-04";"conversion";"Мобильная версия";"15";"Удобство формы с телефона";"Проверить поля, маски, клавиатуру, автозаполнение и ошибки.";"Форму сложно заполнить с телефона или она требует лишних действий.";"";"5";"Critical";"Факт";"Сократить форму и настроить mobile-friendly поля.";"Имя + телефон, корректная клавиатура для телефона.";"6 обязательных полей и неудобные выпадающие списки."
"MB-05";"conversion";"Мобильная версия";"15";"Перекрытия липкими элементами";"Проверить чаты, квизы, попапы, sticky header/footer.";"Элементы перекрывают текст, CTA или форму.";"";"4";"High";"Факт";"Убрать или перенастроить липкие элементы на mobile.";"Sticky CTA не закрывает контент и форму.";"Чат и виджет закрывают кнопку заявки."
"MB-06";"conversion";"Мобильная версия";"15";"Логика порядка блоков на mobile";"Сравнить desktop и mobile порядок смысловых блоков.";"На mobile доказательства, цена или CTA оказываются слишком поздно.";"";"4";"High";"Гипотеза";"Переставить ключевые блоки в логике принятия решения.";"Оффер, польза, доказательство, CTA, детали.";"Сначала галерея, потом длинный текст, потом CTA."
"MB-07";"conversion";"Мобильная версия";"15";"Читаемость текста без увеличения";"Проверить размер шрифта, контраст, межстрочный интервал.";"Текст приходится приближать или читать тяжело.";"";"3";"Medium";"Факт";"Увеличить базовый текст и улучшить контраст.";"Основной текст 16 px+, нормальный контраст.";"Мелкий серый текст на светлом фоне."
"MB-08";"conversion";"Мобильная версия";"15";"Отсутствие горизонтального скролла и наложений";"Проверить ширину контейнеров, таблиц, изображений и карточек.";"Есть горизонтальный скролл, обрезка или наложение блоков.";"";"5";"Critical";"Факт";"Исправить адаптивные контейнеры, изображения и сетки.";"Все блоки помещаются в ширину экрана.";"Карточка выходит за экран и ломает страницу."
"CT-01";"conversion";"CTA и путь к заявке";"15";"Один главный сценарий действия";"Проверить, конкурируют ли кнопки и призывы на странице.";"Пользователю предлагают несколько равнозначных действий без приоритета.";"";"5";"Critical";"Факт";"Выбрать один главный CTA и сделать остальные вторичными.";"Получить аудит лендинга.";"Оставить заявку, скачать, подписаться, перейти в каталог одновременно."
"CT-02";"conversion";"CTA и путь к заявке";"15";"CTA связан с оффером";"Сравнить текст кнопки с обещанием первого экрана.";"Кнопка не продолжает оффер или звучит слишком абстрактно.";"";"4";"High";"Факт";"Сделать CTA конкретным и ожидаемым.";"Получить список правок.";"Отправить."
"CT-03";"conversion";"CTA и путь к заявке";"15";"Текст кнопки описывает действие и результат";"Проверить глагол, объект действия и ценность для пользователя.";"CTA не объясняет, что человек получит после клика.";"";"4";"High";"Факт";"Переписать CTA через действие пользователя.";"Рассчитать стоимость проекта.";"Узнать больше."
"CT-04";"conversion";"CTA и путь к заявке";"15";"Повтор CTA после ключевых блоков";"Проверить наличие CTA после пользы, доказательств, цены, FAQ и финала.";"Пользователь должен искать, где оставить заявку.";"";"4";"High";"Факт";"Повторить CTA в логичных местах страницы.";"CTA после кейсов, тарифов и FAQ.";"Одна кнопка только в самом верху."
"CT-05";"conversion";"CTA и путь к заявке";"15";"Понятность следующего шага";"Есть ли пояснение, что произойдёт после клика или отправки формы.";"Пользователь не понимает, ждёт ли его звонок, расчёт, оплата или консультация.";"";"4";"High";"Факт";"Добавить микротекст под CTA или формой.";"Мы свяжемся в течение 15 минут и уточним задачу.";"Оставьте заявку."
"CT-06";"conversion";"CTA и путь к заявке";"15";"Соответствие CTA стадии решения";"Проверить, не слишком ли агрессивный или слабый CTA для трафика.";"Холодному трафику предлагают купить, горячему - читать общий материал.";"";"4";"High";"Гипотеза";"Подобрать CTA под температуру трафика.";"Для сравнения подрядчиков: получить расчёт и план работ.";"Для сложной B2B-услуги: купить сейчас."
"CT-07";"conversion";"CTA и путь к заявке";"15";"Финальный CTA";"Проверить, завершает ли страница понятным действием.";"Страница заканчивается без следующего шага.";"";"3";"Medium";"Факт";"Добавить финальный CTA с кратким повтором ценности.";"Получить аудит и план правок.";"Футер без призыва."
"TR-01";"conversion";"Доверие и доказательства";"15";"Проверяемые доказательства";"Есть ли кейсы, цифры, отзывы, клиенты, фото, документы, условия.";"Обещания не подтверждены фактами.";"";"5";"Critical";"Факт";"Добавить доказательства, которые можно проверить или оценить.";"Кейс: +34% заявок после правок, скрин Метрики.";"Нам доверяют многие клиенты."
"TR-02";"conversion";"Доверие и доказательства";"15";"Релевантность доказательств нише";"Проверить, относятся ли доказательства к услуге, аудитории и задаче.";"Отзывы и кейсы есть, но не помогают принять решение по текущей услуге.";"";"4";"High";"Гипотеза";"Поставить рядом с оффером доказательства из похожих проектов.";"Кейс по лендингу под Директ в той же нише.";"Отзывы о другой услуге компании."
"TR-03";"conversion";"Доверие и доказательства";"15";"Достоверность отзывов";"Проверить имена, фото, компанию, ссылку, контекст, результат.";"Отзывы выглядят как обезличенные цитаты.";"";"3";"Medium";"Факт";"Усилить отзывы контекстом и результатом.";"Отзыв с именем, компанией, задачей и итогом.";"Все понравилось, рекомендую."
"TR-04";"conversion";"Доверие и доказательства";"15";"Признаки реальности компании";"Проверить контакты, реквизиты, адрес, команду, процесс, соцсети.";"Сайт выглядит анонимно, особенно для дорогой или B2B-услуги.";"";"4";"High";"Факт";"Добавить реальные контакты и признаки существования бизнеса.";"Реквизиты, адрес, команда, рабочие каналы связи.";"Только форма заявки без контактов."
"TR-05";"conversion";"Доверие и доказательства";"15";"Опыт или методология работы";"Проверить, объясняет ли сайт, почему компании можно доверять.";"Нет процесса, подхода, компетенций или экспертизы.";"";"4";"High";"Гипотеза";"Показать методологию, этапы и экспертные принципы.";"Аудит по 8 категориям и priority score.";"Мы делаем качественно и в срок."
"TR-06";"conversion";"Доверие и доказательства";"15";"Снижение риска";"Проверить гарантию, договор, прозрачные условия, оплату, процесс.";"Пользователь видит риск, но сайт его не снимает.";"";"4";"High";"Гипотеза";"Добавить блок снижения риска рядом с CTA или ценой.";"Договор, фиксированный срок, понятный состав отчёта.";"Оставьте заявку, обсудим."
"TR-07";"conversion";"Доверие и доказательства";"15";"Доказательства рядом с решениями";"Проверить, где расположены отзывы, кейсы и цифры.";"Доказательства спрятаны внизу и не поддерживают ключевые CTA.";"";"3";"Medium";"Факт";"Поднять часть доказательств к первому экрану, цене и форме.";"Короткая цифра у CTA, кейс перед тарифами.";"Все отзывы только в самом конце."
"FR-01";"conversion";"Формы и снижение трения";"8";"Минимум полей для первого контакта";"Посчитать обязательные поля и оценить необходимость каждого.";"Форма просит данные, не нужные для первого шага.";"";"5";"Critical";"Факт";"Оставить только поля, необходимые для старта контакта.";"Имя, телефон или мессенджер.";"ФИО, компания, должность, город, бюджет, комментарий как обязательные."
"FR-02";"conversion";"Формы и снижение трения";"8";"Понятность полей";"Проверить подписи, плейсхолдеры, формат ввода, маски.";"Поля вызывают сомнение или непонятно, что писать.";"";"4";"High";"Факт";"Уточнить подписи и формат ввода.";"Телефон для связи.";"Контактные данные."
"FR-03";"conversion";"Формы и снижение трения";"8";"Обязательные поля не перегружают";"Проверить количество обязательных полей и психологический барьер.";"Форма выглядит как анкета, а не первый шаг.";"";"4";"High";"Факт";"Сделать часть полей необязательными или перенести после контакта.";"1-2 обязательных поля.";"Подробный бриф до первого разговора."
"FR-04";"conversion";"Формы и снижение трения";"8";"Пояснение после отправки";"Есть ли текст рядом с формой о сроке и формате ответа.";"Пользователь не знает, когда и как с ним свяжутся.";"";"3";"Medium";"Факт";"Добавить короткое ожидание результата.";"Ответим сегодня в WhatsApp или по телефону.";"Без пояснения."
"FR-05";"conversion";"Формы и снижение трения";"8";"Согласие и политика данных";"Проверить наличие политики и согласия, если собираются персональные данные.";"Форма собирает данные без юридического пояснения.";"";"3";"Medium";"Факт";"Добавить ссылку на политику и согласие.";"Нажимая кнопку, вы соглашаетесь с политикой.";"Поле телефона без согласия."
